GENDER,PROVINCE,RACE,AGE_GROUP,RECORD_DATE,DAY_OF_WEEK,MONTH_OF_YEAR,CHANNEL2,DURATION_CATEGORY,NUMBER_OF_USERS,NUMBER_OF_SESSIONS,AVG_DURATION
male,Kwazulu Natal,black,Adults,2016-01-01,Fri,Jan,Africa Magic,Short,1,1,00:01:44
male,Gauteng,black,Adults,2016-01-01,Fri,Jan,Africa Magic,Short,1,1,00:01:34
male,Free State,white,Adults,2016-01-01,Fri,Jan,Africa Magic,Short,1,1,00:00:09
male,Gauteng,black,Young Adults,2016-01-01,Fri,Jan,Africa Magic,Short,1,1,00:03:17
male,Mpumalanga,black,Young Adults,2016-01-01,Fri,Jan,Africa Magic,Short,1,1,00:01:32
male,Kwazulu Natal,indian_asian,Adults,2016-01-01,Fri,Jan,Boomerang,Short,1,1,00:09:16
female,North West,black,Young Adults,2016-01-01,Fri,Jan,Boomerang,Short,1,1,00:00:53
male,Gauteng,black,Young Adults,2016-01-01,Fri,Jan,Boomerang,Short,1,1,00:01:50
male,Western Cape,coloured,Young Adults,2016-01-01,Fri,Jan,Boomerang,Short,2,2,00:01:10
male,Eastern Cape,other,Young Adults,2016-01-01,Fri,Jan,Boomerang,Short,1,1,00:18:16
female,Gauteng,None,Young Adults,2016-01-01,Fri,Jan,Boomerang,Short,1,1,00:00:09
male,Western Cape,coloured,Adults,2016-01-01,Fri,Jan,CNN,Short,1,2,00:00:44
male,Gauteng,other,Adults,2016-01-01,Fri,Jan,CNN,Short,1,1,00:02:03
female,Gauteng,None,Adults,2016-01-01,Fri,Jan,CNN,Short,1,1,00:00:07
None,None,None,Under 18,2016-01-01,Fri,Jan,CNN,Short,1,1,00:03:16
female,Eastern Cape,None,Under 18,2016-01-01,Fri,Jan,CNN,Short,1,1,00:00:04
male,Mpumalanga,None,Young Adults,2016-01-01,Fri,Jan,CNN,Short,1,1,00:00:34
male,Western Cape,coloured,Adults,2016-01-01,Fri,Jan,Cartoon Network,Short,1,1,00:00:14
male,Mpumalanga,black,Adults,2016-01-01,Fri,Jan,Cartoon Network,Short,1,1,00:00:00
female,Gauteng,None,Adults,2016-01-01,Fri,Jan,Cartoon Network,Short,1,1,00:00:07
male,Mpumalanga,black,Under 18,2016-01-01,Fri,Jan,Cartoon Network,Short,1,1,00:00:53
male,Mpumalanga,white,Young Adults,2016-01-01,Fri,Jan,Cartoon Network,Short,1,2,00:00:42
female,Gauteng,black,Young Adults,2016-01-01,Fri,Jan,Cartoon Network,Short,1,1,00:28:28
male,Gauteng,white,Young Adults,2016-01-01,Fri,Jan,Cartoon Network,Short,1,1,00:19:24
male,Gauteng,black,Young Adults,2016-01-01,Fri,Jan,Cartoon Network,Short,1,1,00:03:33
male,Kwazulu Natal,white,Adults,2016-01-01,Fri,Jan,Channel O,Short,1,1,00:00:21
male,Mpumalanga,black,Adults,2016-01-01,Fri,Jan,Channel O,Short,1,1,00:03:27
male,Kwazulu Natal,black,Adults,2016-01-01,Fri,Jan,Channel O,Short,1,1,00:02:24
female,Western Cape,coloured,Adults,2016-01-01,Fri,Jan,Channel O,Short,1,1,00:06:51
female,Free State,black,Adults,2016-01-01,Fri,Jan,Channel O,Short,1,1,00:00:39
None,None,None,Under 18,2016-01-01,Fri,Jan,Channel O,Short,1,1,00:00:33
male,Mpumalanga,None,Young Adults,2016-01-01,Fri,Jan,Channel O,Short,1,2,00:05:27
male,Mpumalanga,black,Young Adults,2016-01-01,Fri,Jan,Channel O,Short,1,1,00:00:27
male,Gauteng,black,Young Adults,2016-01-01,Fri,Jan,Channel O,Short,2,2,00:00:45
male,Kwazulu Natal,black,Young Adults,2016-01-01,Fri,Jan,Channel O,Short,2,2,00:26:24
male,Limpopo,black,Young Adults,2016-01-01,Fri,Jan,Channel O,Short,1,1,00:01:57
male,Western Cape,coloured,Young Adults,2016-01-01,Fri,Jan,Channel O,Short,1,1,00:06:45
male,Mpumalanga,white,Young Adults,2016-01-01,Fri,Jan,DStv Events 1,Short,1,1,00:01:55
male,Mpumalanga,None,Adults,2016-01-01,Fri,Jan,E! Entertainment,Short,1,1,00:00:04
male,Gauteng,black,Adults,2016-01-01,Fri,Jan,E! Entertainment,Short,1,1,00:25:22
male,Gauteng,white,Young Adults,2016-01-01,Fri,Jan,E! Entertainment,Short,1,1,00:27:08
male,Western Cape,None,Young Adults,2016-01-01,Fri,Jan,E! Entertainment,Short,1,1,00:01:36
female,Gauteng,None,Young Adults,2016-01-01,Fri,Jan,E! Entertainment,Short,1,1,00:00:26
male,Eastern Cape,other,Young Adults,2016-01-01,Fri,Jan,E! Entertainment,Short,1,1,00:12:38
male,Western Cape,coloured,Adults,2016-01-01,Fri,Jan,M-Net,Short,1,1,00:00:09
male,Free State,None,Young Adults,2016-01-01,Fri,Jan,M-Net,Short,1,1,00:03:42
male,Gauteng,black,Adults,2016-01-01,Fri,Jan,SawSee,Short,1,1,00:04:54
male,Western Cape,indian_asian,Adults,2016-01-01,Fri,Jan,SawSee,Short,1,1,00:00:58
male,Gauteng,black,Young Adults,2016-01-01,Fri,Jan,SawSee,Short,1,1,00:01:19
male,Western Cape,white,Adults,2016-01-01,Fri,Jan,Trace TV,Short,1,1,00:01:09
male,Western Cape,coloured,Adults,2016-01-01,Fri,Jan,Trace TV,Short,1,2,00:01:54
male,Gauteng,black,Adults,2016-01-01,Fri,Jan,Trace TV,Short,1,1,00:00:30
male,Gauteng,black,Seniors,2016-01-01,Fri,Jan,Trace TV,Short,1,1,00:00:42
